Local Date/Time	Relative Time	flowsensor-a:flow [µL/min]
06/15/2022 13:23:15	00:00:13.896	0.000
06/15/2022 13:23:15	00:00:14.203	0.001
06/15/2022 13:23:15	00:00:14.305	0.000
06/15/2022 13:23:15	00:00:14.509	0.001
06/15/2022 13:23:16	00:00:14.914	-0.001
06/15/2022 13:23:16	00:00:15.014	0.000
06/15/2022 13:23:16	00:00:15.314	-0.001
06/15/2022 13:23:17	00:00:16.029	0.000
06/15/2022 13:23:17	00:00:16.332	-0.001
06/15/2022 13:23:17	00:00:16.432	0.001
06/15/2022 13:23:17	00:00:16.632	0.000
06/15/2022 13:23:18	00:00:17.712	0.000
06/15/2022 13:23:19	00:00:17.712	0.000
06/15/2022 13:23:19	00:00:18.258	0.001
06/15/2022 13:23:19	00:00:18.565	-0.001
06/15/2022 13:23:19	00:00:18.667	0.001
06/15/2022 13:23:20	00:00:18.972	-0.001
06/15/2022 13:23:20	00:00:19.074	0.000
06/15/2022 13:23:20	00:00:19.476	-0.002
06/15/2022 13:23:20	00:00:19.578	-0.001
06/15/2022 13:23:21	00:00:20.394	0.001
06/15/2022 13:23:22	00:00:21.205	-0.001
06/15/2022 13:23:22	00:00:21.307	0.001
06/15/2022 13:23:22	00:00:21.716	-0.001
06/15/2022 13:23:23	00:00:21.818	0.001
06/15/2022 13:23:23	00:00:22.222	-0.001
06/15/2022 13:23:23	00:00:22.322	0.001
06/15/2022 13:23:23	00:00:22.527	-0.001
06/15/2022 13:23:24	00:00:23.036	0.001
06/15/2022 13:23:24	00:00:23.742	-0.001
06/15/2022 13:23:25	00:00:23.844	0.000
06/15/2022 13:23:26	00:00:25.469	-0.001
06/15/2022 13:23:27	00:00:25.780	0.000
06/15/2022 13:23:27	00:00:25.882	-0.002
06/15/2022 13:23:27	00:00:25.982	0.000
06/15/2022 13:23:27	00:00:26.184	0.001
06/15/2022 13:23:27	00:00:26.284	0.000
06/15/2022 13:23:27	00:00:26.384	-0.002
06/15/2022 13:23:27	00:00:26.486	0.001
06/15/2022 13:23:28	00:00:26.997	-0.001
06/15/2022 13:23:28	00:00:27.302	0.002
06/15/2022 13:23:28	00:00:27.402	0.001
06/15/2022 13:23:28	00:00:27.702	-0.001
06/15/2022 13:23:29	00:00:27.802	0.001
06/15/2022 13:23:29	00:00:27.902	-0.001
06/15/2022 13:23:29	00:00:28.211	0.000
06/15/2022 13:23:29	00:00:28.718	-0.001
06/15/2022 13:23:30	00:00:28.818	0.001
06/15/2022 13:23:30	00:00:28.918	-0.001
06/15/2022 13:23:30	00:00:29.120	0.001
06/15/2022 13:23:30	00:00:29.220	0.000
06/15/2022 13:23:30	00:00:29.629	0.001
06/15/2022 13:23:31	00:00:29.833	-0.001
06/15/2022 13:23:31	00:00:29.934	0.001
06/15/2022 13:23:31	00:00:30.542	-0.001
06/15/2022 13:23:32	00:00:31.051	0.000
06/15/2022 13:23:32	00:00:31.458	-0.001
06/15/2022 13:23:32	00:00:31.758	0.001
06/15/2022 13:23:33	00:00:31.858	-0.001
06/15/2022 13:23:33	00:00:32.060	0.000
06/15/2022 13:23:33	00:00:32.162	-0.001
06/15/2022 13:23:33	00:00:32.264	0.000
06/15/2022 13:23:33	00:00:32.366	-0.001
06/15/2022 13:23:33	00:00:32.775	0.001
06/15/2022 13:23:35	00:00:32.876	-0.001
06/15/2022 13:23:35	00:00:32.976	0.000
06/15/2022 13:23:35	00:00:34.109	-0.005
06/15/2022 13:23:35	00:00:34.208	-0.027
06/15/2022 13:23:35	00:00:34.312	0.002
06/15/2022 13:23:35	00:00:34.704	-0.001
06/15/2022 13:23:36	00:00:34.848	0.001
06/15/2022 13:23:36	00:00:35.247	-0.001
06/15/2022 13:23:36	00:00:35.313	0.002
06/15/2022 13:23:36	00:00:35.446	0.000
06/15/2022 13:23:36	00:00:35.662	0.001
06/15/2022 13:23:36	00:00:35.738	0.000
06/15/2022 13:23:37	00:00:36.062	0.001
06/15/2022 13:23:37	00:00:36.148	0.000
06/15/2022 13:23:37	00:00:36.610	0.001
06/15/2022 13:23:37	00:00:36.809	0.000
06/15/2022 13:23:38	00:00:37.620	0.001
06/15/2022 13:23:38	00:00:37.722	0.000
06/15/2022 13:23:39	00:00:38.131	0.001
06/15/2022 13:23:39	00:00:38.334	-0.002
06/15/2022 13:23:39	00:00:38.436	0.000
06/15/2022 13:23:40	00:00:39.040	0.001
06/15/2022 13:23:40	00:00:39.142	-0.001
06/15/2022 13:23:40	00:00:39.653	0.001
06/15/2022 13:23:41	00:00:39.956	-0.001
06/15/2022 13:23:41	00:00:40.256	0.000
06/15/2022 13:23:41	00:00:40.560	-0.001
06/15/2022 13:23:41	00:00:40.662	0.001
06/15/2022 13:23:42	00:00:40.969	-0.001
06/15/2022 13:23:42	00:00:41.576	0.001
06/15/2022 13:23:43	00:00:41.880	0.000
06/15/2022 13:23:43	00:00:42.186	-0.001
06/15/2022 13:23:43	00:00:42.391	0.000
06/15/2022 13:23:43	00:00:42.492	-0.001
06/15/2022 13:23:43	00:00:42.796	0.001
06/15/2022 13:23:44	00:00:42.998	-0.001
06/15/2022 13:23:45	00:00:43.914	0.001
06/15/2022 13:23:45	00:00:44.016	-0.001
06/15/2022 13:23:45	00:00:44.216	0.001
06/15/2022 13:23:45	00:00:44.316	-0.001
06/15/2022 13:23:45	00:00:44.824	0.001
06/15/2022 13:23:46	00:00:45.028	0.000
06/15/2022 13:23:46	00:00:45.232	0.001
06/15/2022 13:23:46	00:00:45.334	-0.001
06/15/2022 13:23:46	00:00:45.634	0.000
06/15/2022 13:23:47	00:00:46.854	0.000
06/15/2022 13:23:48	00:00:46.854	-0.001
06/15/2022 13:23:48	00:00:47.156	0.001
06/15/2022 13:23:48	00:00:47.360	-0.001
06/15/2022 13:23:48	00:00:47.462	0.001
06/15/2022 13:23:48	00:00:47.564	-0.001
06/15/2022 13:23:48	00:00:47.666	0.000
06/15/2022 13:23:48	00:00:47.768	0.002
06/15/2022 13:23:48	00:00:47.870	0.000
06/15/2022 13:23:49	00:00:47.972	-0.001
06/15/2022 13:23:49	00:00:48.074	0.000
06/15/2022 13:23:49	00:00:48.278	-0.001
06/15/2022 13:23:49	00:00:48.380	0.000
06/15/2022 13:23:50	00:00:48.988	-0.002
06/15/2022 13:23:50	00:00:49.090	0.000
06/15/2022 13:23:50	00:00:49.800	0.001
06/15/2022 13:23:51	00:00:50.206	-0.001
06/15/2022 13:23:51	00:00:50.308	0.000
06/15/2022 13:23:52	00:00:50.920	-0.001
06/15/2022 13:23:52	00:00:51.320	0.001
06/15/2022 13:23:52	00:00:51.830	-0.001
06/15/2022 13:23:54	00:00:52.340	0.001
06/15/2022 13:23:54	00:00:52.540	0.000
06/15/2022 13:23:55	00:00:53.046	0.001
06/15/2022 13:23:55	00:00:53.148	0.000
06/15/2022 13:23:55	00:00:53.758	0.001
06/15/2022 13:23:55	00:00:53.858	0.000
06/15/2022 13:23:56	00:00:54.058	-0.001
06/15/2022 13:23:56	00:00:54.158	0.000
06/15/2022 13:23:56	00:00:54.566	-0.001
06/15/2022 13:23:57	00:00:55.076	0.001
06/15/2022 13:23:57	00:00:55.176	-0.001
06/15/2022 13:23:57	00:00:55.782	0.001
06/15/2022 13:23:58	00:00:56.088	-0.001
06/15/2022 13:23:58	00:00:56.190	0.000
06/15/2022 13:23:58	00:00:56.292	-0.001
06/15/2022 13:23:58	00:00:56.394	0.000
06/15/2022 13:23:58	00:00:56.494	-0.002
06/15/2022 13:23:58	00:00:56.594	0.001
06/15/2022 13:23:58	00:00:56.894	0.000
06/15/2022 13:23:59	00:00:57.096	-0.001
06/15/2022 13:23:59	00:00:57.606	0.000
06/15/2022 13:23:59	00:00:57.810	-0.001
06/15/2022 13:24:00	00:00:58.012	0.000
06/15/2022 13:24:00	00:00:58.722	-0.001
06/15/2022 13:24:00	00:00:58.824	0.001
06/15/2022 13:24:01	00:00:59.130	-0.001
06/15/2022 13:24:01	00:00:59.332	0.000
06/15/2022 13:24:02	00:01:00.451	-0.001
06/15/2022 13:24:02	00:01:00.754	0.000
06/15/2022 13:24:03	00:01:01.056	-0.001
06/15/2022 13:24:03	00:01:01.159	0.000
06/15/2022 13:24:03	00:01:01.260	-0.001
06/15/2022 13:24:03	00:01:01.362	0.000
06/15/2022 13:24:04	00:01:02.174	0.001
06/15/2022 13:24:04	00:01:02.276	0.000
06/15/2022 13:24:05	00:01:03.947	0.000
06/15/2022 13:24:06	00:01:03.947	0.000
06/15/2022 13:24:06	00:01:04.002	-0.001
06/15/2022 13:24:06	00:01:04.206	0.000
06/15/2022 13:24:06	00:01:04.613	0.001
06/15/2022 13:24:06	00:01:04.715	-0.001
06/15/2022 13:24:06	00:01:04.815	0.001
06/15/2022 13:24:06	00:01:04.918	-0.001
06/15/2022 13:24:07	00:01:05.020	0.000
06/15/2022 13:24:07	00:01:05.220	0.001
06/15/2022 13:24:07	00:01:05.424	-0.001
06/15/2022 13:24:08	00:01:06.035	0.001
06/15/2022 13:24:08	00:01:06.137	-0.001
06/15/2022 13:24:08	00:01:06.342	0.001
06/15/2022 13:24:08	00:01:06.444	-0.001
06/15/2022 13:24:08	00:01:06.848	0.000
06/15/2022 13:24:09	00:01:07.154	-0.001
06/15/2022 13:24:09	00:01:07.256	0.001
06/15/2022 13:24:09	00:01:07.459	-0.001
06/15/2022 13:24:09	00:01:07.762	0.001
06/15/2022 13:24:09	00:01:07.962	-0.001
06/15/2022 13:24:10	00:01:08.166	0.000
06/15/2022 13:24:10	00:01:08.268	-0.001
06/15/2022 13:24:10	00:01:08.370	0.001
06/15/2022 13:24:10	00:01:08.472	-0.001
06/15/2022 13:24:10	00:01:08.676	0.001
06/15/2022 13:24:10	00:01:08.879	-0.001
06/15/2022 13:24:10	00:01:08.979	0.001
06/15/2022 13:24:11	00:01:09.180	-0.001
06/15/2022 13:24:11	00:01:09.788	0.000
06/15/2022 13:24:12	00:01:10.498	-0.001
06/15/2022 13:24:12	00:01:10.598	-0.002
06/15/2022 13:24:12	00:01:10.698	-0.001
06/15/2022 13:24:13	00:01:11.308	0.000
06/15/2022 13:24:13	00:01:11.511	-0.001
06/15/2022 13:24:13	00:01:11.613	0.000
06/15/2022 13:24:14	00:01:12.929	0.001
06/15/2022 13:24:15	00:01:13.031	0.000
06/15/2022 13:24:15	00:01:13.842	-0.001
06/15/2022 13:24:16	00:01:14.046	0.000
06/15/2022 13:24:17	00:01:15.364	0.001
06/15/2022 13:24:17	00:01:15.468	0.000
06/15/2022 13:24:17	00:01:15.975	-0.001
06/15/2022 13:24:18	00:01:16.178	0.000
06/15/2022 13:24:19	00:01:17.193	-0.001
06/15/2022 13:24:19	00:01:17.594	0.001
06/15/2022 13:24:20	00:01:18.100	0.000
06/15/2022 13:24:20	00:01:18.406	0.001
06/15/2022 13:24:20	00:01:18.508	-0.001
06/15/2022 13:24:20	00:01:18.609	0.001
06/15/2022 13:24:20	00:01:18.809	0.000
06/15/2022 13:24:21	00:01:19.318	0.001
06/15/2022 13:24:21	00:01:19.522	-0.001
06/15/2022 13:24:21	00:01:19.624	0.000
06/15/2022 13:24:22	00:01:20.432	0.001
06/15/2022 13:24:22	00:01:20.532	0.000
06/15/2022 13:24:22	00:01:21.042	0.001
06/15/2022 13:24:23	00:01:21.144	0.000
06/15/2022 13:24:23	00:01:21.645	-0.001
06/15/2022 13:24:23	00:01:21.846	0.000
06/15/2022 13:24:24	00:01:22.152	0.001
06/15/2022 13:24:24	00:01:22.356	-0.001
06/15/2022 13:24:24	00:01:22.458	0.001
06/15/2022 13:24:24	00:01:22.865	-0.001
06/15/2022 13:24:24	00:01:22.965	0.000
06/15/2022 13:24:25	00:01:23.572	-0.001
06/15/2022 13:24:25	00:01:23.674	0.000
06/15/2022 13:24:25	00:01:23.878	-0.001
06/15/2022 13:24:25	00:01:23.981	0.000
06/15/2022 13:24:26	00:01:24.283	-0.001
06/15/2022 13:24:26	00:01:24.584	0.001
06/15/2022 13:24:26	00:01:24.786	-0.001
06/15/2022 13:24:26	00:01:24.990	0.000
06/15/2022 13:24:27	00:01:26.090	0.000
06/15/2022 13:24:28	00:01:27.089	0.000
06/15/2022 13:24:29	00:01:27.089	0.000
06/15/2022 13:24:29	00:01:27.518	-0.001
06/15/2022 13:24:29	00:01:27.824	0.000
06/15/2022 13:24:30	00:01:28.130	-0.002
06/15/2022 13:24:30	00:01:28.231	0.000
06/15/2022 13:24:30	00:01:28.633	-0.001
06/15/2022 13:24:31	00:01:29.138	0.001
06/15/2022 13:24:31	00:01:29.342	-0.001
06/15/2022 13:24:31	00:01:29.546	0.001
06/15/2022 13:24:31	00:01:29.949	-0.001
06/15/2022 13:24:32	00:01:30.250	0.001
06/15/2022 13:24:32	00:01:30.454	0.000
06/15/2022 13:24:33	00:01:31.776	-0.002
06/15/2022 13:24:33	00:01:31.878	0.000
06/15/2022 13:24:34	00:01:32.387	0.001
06/15/2022 13:24:34	00:01:32.487	-0.001
06/15/2022 13:24:34	00:01:32.893	0.000
06/15/2022 13:24:35	00:01:34.119	0.000
06/15/2022 13:24:36	00:01:35.133	0.000
06/15/2022 13:24:37	00:01:35.133	0.000
06/15/2022 13:24:37	00:01:36.030	-0.001
06/15/2022 13:24:38	00:01:36.540	0.000
06/15/2022 13:24:39	00:01:37.450	0.001
06/15/2022 13:24:39	00:01:37.756	-0.001
06/15/2022 13:24:40	00:01:38.461	0.001
06/15/2022 13:24:40	00:01:38.561	-0.002
06/15/2022 13:24:40	00:01:38.663	0.000
06/15/2022 13:24:40	00:01:38.766	0.001
06/15/2022 13:24:40	00:01:39.072	0.000
06/15/2022 13:24:41	00:01:39.377	-0.001
06/15/2022 13:24:41	00:01:39.577	0.000
06/15/2022 13:24:41	00:01:39.877	0.001
06/15/2022 13:24:41	00:01:39.979	0.000
06/15/2022 13:24:42	00:01:40.998	-0.001
06/15/2022 13:24:42	00:01:41.099	0.000
06/15/2022 13:24:43	00:01:41.202	-0.001
06/15/2022 13:24:43	00:01:41.303	0.001
06/15/2022 13:24:43	00:01:41.508	0.000
06/15/2022 13:24:43	00:01:42.119	-0.001
06/15/2022 13:24:44	00:01:42.219	0.000
06/15/2022 13:24:44	00:01:42.619	-0.001
06/15/2022 13:24:44	00:01:42.821	0.001
06/15/2022 13:24:44	00:01:42.924	-0.001
06/15/2022 13:24:44	00:01:43.026	0.000
06/15/2022 13:24:45	00:01:43.535	-0.001
06/15/2022 13:24:45	00:01:43.735	0.000
06/15/2022 13:24:45	00:01:43.935	-0.001
06/15/2022 13:24:46	00:01:44.648	0.001
06/15/2022 13:24:46	00:01:44.750	-0.001
06/15/2022 13:24:46	00:01:45.153	0.000
06/15/2022 13:24:47	00:01:46.068	-0.001
06/15/2022 13:24:48	00:01:46.172	0.000
06/15/2022 13:24:48	00:01:46.875	-0.001
06/15/2022 13:24:49	00:01:47.284	0.001
06/15/2022 13:24:49	00:01:47.386	-0.001
06/15/2022 13:24:50	00:01:48.291	0.001
06/15/2022 13:24:50	00:01:48.495	-0.002
06/15/2022 13:24:50	00:01:48.598	-0.001
06/15/2022 13:24:51	00:01:50.199	-0.001
06/15/2022 13:24:52	00:01:51.212	-0.001
06/15/2022 13:24:53	00:01:51.212	-0.001
06/15/2022 13:24:53	00:01:51.536	0.001
06/15/2022 13:24:53	00:01:52.149	-0.001
06/15/2022 13:24:54	00:01:52.315	0.001
06/15/2022 13:24:54	00:01:52.407	0.000
06/15/2022 13:24:54	00:01:52.517	-0.001
06/15/2022 13:24:54	00:01:53.018	0.000
06/15/2022 13:24:55	00:01:53.315	-0.001
06/15/2022 13:24:55	00:01:53.637	0.000
06/15/2022 13:24:55	00:01:53.747	-0.001
06/15/2022 13:24:55	00:01:53.927	0.000
06/15/2022 13:24:56	00:01:54.639	-0.002
06/15/2022 13:24:56	00:01:54.711	0.001
06/15/2022 13:24:56	00:01:55.221	-0.001
06/15/2022 13:24:57	00:01:55.433	0.000
06/15/2022 13:24:57	00:01:55.551	-0.001
06/15/2022 13:24:57	00:01:55.744	0.000
06/15/2022 13:24:58	00:01:56.974	-0.001
06/15/2022 13:24:58	00:01:57.072	0.001
06/15/2022 13:24:58	00:01:57.273	-0.001
06/15/2022 13:24:59	00:01:57.475	0.000
06/15/2022 13:24:59	00:01:57.777	0.001
06/15/2022 13:24:59	00:01:57.981	0.000
06/15/2022 13:24:59	00:01:58.083	-0.002
06/15/2022 13:25:00	00:01:58.287	0.001
06/15/2022 13:25:00	00:01:58.695	-0.001
06/15/2022 13:25:00	00:01:59.197	0.001
06/15/2022 13:25:01	00:01:59.401	0.000
06/15/2022 13:25:01	00:02:00.217	0.001
06/15/2022 13:25:02	00:02:00.417	-0.001
06/15/2022 13:25:02	00:02:00.819	0.001
06/15/2022 13:25:02	00:02:00.921	-0.002
06/15/2022 13:25:02	00:02:01.023	0.001
06/15/2022 13:25:02	00:02:01.125	-0.001
06/15/2022 13:25:02	00:02:01.228	0.001
06/15/2022 13:25:03	00:02:01.633	-0.001
06/15/2022 13:25:03	00:02:01.933	0.000
06/15/2022 13:25:03	00:02:02.035	-0.001
06/15/2022 13:25:03	00:02:02.237	0.000
06/15/2022 13:25:04	00:02:03.305	0.000
06/15/2022 13:25:05	00:02:03.305	0.000
06/15/2022 13:25:05	00:02:03.353	-0.001
06/15/2022 13:25:05	00:02:03.453	0.001
06/15/2022 13:25:05	00:02:03.555	0.000
06/15/2022 13:25:05	00:02:03.657	-0.001
06/15/2022 13:25:05	00:02:03.759	0.002
06/15/2022 13:25:05	00:02:03.861	0.000
06/15/2022 13:25:05	00:02:04.269	0.001
06/15/2022 13:25:06	00:02:04.471	-0.001
06/15/2022 13:25:06	00:02:04.671	0.001
06/15/2022 13:25:06	00:02:04.771	-0.001
06/15/2022 13:25:06	00:02:04.973	0.000
06/15/2022 13:25:06	00:02:05.184	-0.001
06/15/2022 13:25:07	00:02:05.490	0.001
06/15/2022 13:25:07	00:02:05.592	-0.001
06/15/2022 13:25:07	00:02:05.693	0.000
06/15/2022 13:25:07	00:02:05.995	-0.002
06/15/2022 13:25:07	00:02:06.095	0.000
06/15/2022 13:25:08	00:02:06.399	0.001
06/15/2022 13:25:08	00:02:06.501	-0.001
06/15/2022 13:25:09	00:02:07.817	0.001
06/15/2022 13:25:09	00:02:08.021	0.000
06/15/2022 13:25:09	00:02:08.123	0.001
06/15/2022 13:25:09	00:02:08.225	-0.001
06/15/2022 13:25:10	00:02:08.529	0.001
06/15/2022 13:25:10	00:02:08.633	0.000
06/15/2022 13:25:10	00:02:09.033	-0.001
06/15/2022 13:25:10	00:02:09.237	0.000
06/15/2022 13:25:11	00:02:09.748	0.001
06/15/2022 13:25:11	00:02:09.849	-0.001
06/15/2022 13:25:11	00:02:10.251	0.001
06/15/2022 13:25:12	00:02:10.553	-0.001
06/15/2022 13:25:12	00:02:10.655	0.001
06/15/2022 13:25:12	00:02:10.757	-0.001
06/15/2022 13:25:12	00:02:11.267	0.001
06/15/2022 13:25:13	00:02:11.567	0.000
06/15/2022 13:25:13	00:02:12.175	0.001
06/15/2022 13:25:14	00:02:12.689	0.000
06/15/2022 13:25:14	00:02:13.189	0.001
06/15/2022 13:25:14	00:02:13.291	0.000
06/15/2022 13:25:15	00:02:13.699	0.001
06/15/2022 13:25:15	00:02:13.801	0.000
06/15/2022 13:25:15	00:02:14.107	0.002
06/15/2022 13:25:15	00:02:14.207	0.000
06/15/2022 13:25:16	00:02:15.019	-0.001
06/15/2022 13:25:16	00:02:15.121	0.001
06/15/2022 13:25:16	00:02:15.223	-0.001
06/15/2022 13:25:17	00:02:15.629	0.001
06/15/2022 13:25:17	00:02:15.729	-0.001
06/15/2022 13:25:17	00:02:16.031	0.001
06/15/2022 13:25:17	00:02:16.235	-0.001
06/15/2022 13:25:18	00:02:16.745	0.000
06/15/2022 13:25:18	00:02:17.053	-0.002
06/15/2022 13:25:18	00:02:17.153	0.001
06/15/2022 13:25:18	00:02:17.253	0.000
06/15/2022 13:25:19	00:02:17.965	-0.002
06/15/2022 13:25:19	00:02:18.067	0.000
06/15/2022 13:25:19	00:02:18.369	-0.001
06/15/2022 13:25:20	00:02:18.469	0.000
06/15/2022 13:25:20	00:02:18.975	-0.001
06/15/2022 13:25:20	00:02:19.077	0.000
06/15/2022 13:25:21	00:02:19.687	0.001
06/15/2022 13:25:21	00:02:20.191	0.000
06/15/2022 13:25:22	00:02:21.446	0.000
06/15/2022 13:25:23	00:02:21.446	0.000
06/15/2022 13:25:23	00:02:21.711	-0.002
06/15/2022 13:25:23	00:02:21.813	0.000
06/15/2022 13:25:24	00:02:22.625	-0.001
06/15/2022 13:25:24	00:02:22.825	0.001
06/15/2022 13:25:24	00:02:22.925	-0.001
06/15/2022 13:25:24	00:02:23.129	0.000
06/15/2022 13:25:25	00:02:23.537	-0.001
06/15/2022 13:25:25	00:02:23.841	-0.002
06/15/2022 13:25:25	00:02:23.941	0.000
06/15/2022 13:25:26	00:02:24.549	0.002
06/15/2022 13:25:26	00:02:24.651	0.000
06/15/2022 13:25:26	00:02:24.957	0.001
06/15/2022 13:25:26	00:02:25.058	0.000
06/15/2022 13:25:27	00:02:25.865	-0.001
06/15/2022 13:25:27	00:02:26.069	0.001
06/15/2022 13:25:28	00:02:27.389	-0.002
06/15/2022 13:25:29	00:02:27.491	0.001
06/15/2022 13:25:29	00:02:27.797	0.000
06/15/2022 13:25:29	00:02:27.898	-0.002
06/15/2022 13:25:29	00:02:28.001	0.000
06/15/2022 13:25:29	00:02:28.301	0.001
06/15/2022 13:25:29	00:02:28.401	0.000
06/15/2022 13:25:30	00:02:28.911	-0.002
06/15/2022 13:25:30	00:02:29.013	0.000
06/15/2022 13:25:31	00:02:29.821	-0.001
06/15/2022 13:25:31	00:02:30.025	0.001
06/15/2022 13:25:31	00:02:30.229	0.000
06/15/2022 13:25:31	00:02:30.331	-0.001
06/15/2022 13:25:32	00:02:30.636	0.001
06/15/2022 13:25:32	00:02:30.939	0.000
06/15/2022 13:25:32	00:02:31.341	0.001
06/15/2022 13:25:32	00:02:31.443	-0.002
06/15/2022 13:25:33	00:02:31.545	0.001
06/15/2022 13:25:33	00:02:31.851	-0.001
06/15/2022 13:25:33	00:02:31.952	0.001
06/15/2022 13:25:33	00:02:32.259	-0.001
06/15/2022 13:25:34	00:02:32.559	0.000
06/15/2022 13:25:34	00:02:33.069	-0.001
06/15/2022 13:25:34	00:02:33.171	0.000
06/15/2022 13:25:35	00:02:34.287	-0.001
06/15/2022 13:25:35	00:02:34.389	0.000
06/15/2022 13:25:36	00:02:34.593	0.001
06/15/2022 13:25:36	00:02:34.697	0.000
06/15/2022 13:25:36	00:02:35.301	0.001
06/15/2022 13:25:37	00:02:35.813	-0.001
06/15/2022 13:25:37	00:02:35.915	0.001
06/15/2022 13:25:37	00:02:36.119	-0.001
06/15/2022 13:25:37	00:02:36.420	0.000
06/15/2022 13:25:38	00:02:36.521	-0.001
06/15/2022 13:25:38	00:02:37.129	0.001
06/15/2022 13:25:38	00:02:37.231	-0.001
06/15/2022 13:25:38	00:02:37.333	0.000
06/15/2022 13:25:39	00:02:38.245	-0.001
06/15/2022 13:25:40	00:02:38.653	0.002
06/15/2022 13:25:40	00:02:38.755	0.000
06/15/2022 13:25:41	00:02:39.561	-0.001
06/15/2022 13:25:41	00:02:39.663	0.001
06/15/2022 13:25:41	00:02:39.765	0.000
06/15/2022 13:25:41	00:02:39.867	-0.001
06/15/2022 13:25:41	00:02:40.173	0.000
06/15/2022 13:25:42	00:02:40.877	-0.001
06/15/2022 13:25:42	00:02:40.979	0.000
06/15/2022 13:25:43	00:02:42.095	-0.001
06/15/2022 13:25:43	00:02:42.195	0.001
06/15/2022 13:25:44	00:02:43.109	-0.001
06/15/2022 13:25:44	00:02:43.211	0.001
06/15/2022 13:25:44	00:02:43.313	0.000
06/15/2022 13:25:45	00:02:43.819	0.001
06/15/2022 13:25:45	00:02:43.921	-0.001
06/15/2022 13:25:46	00:02:45.235	0.000
06/15/2022 13:25:47	00:02:46.586	0.000
06/15/2022 13:25:48	00:02:46.586	0.000
06/15/2022 13:25:48	00:02:46.657	-0.001
06/15/2022 13:25:48	00:02:46.759	0.002
