Local Date/Time	Relative Time	flowsensor-b:flow [µL/min]
06/15/2022 13:23:21	00:00:19.987	-0.001
06/15/2022 13:23:21	00:00:20.089	0.001
06/15/2022 13:23:21	00:00:20.191	-0.001
06/15/2022 13:23:21	00:00:20.293	0.000
06/15/2022 13:23:21	00:00:20.496	-0.001
06/15/2022 13:23:22	00:00:21.511	-0.003
06/15/2022 13:23:22	00:00:21.615	-0.002
06/15/2022 13:23:22	00:00:21.717	0.001
06/15/2022 13:23:23	00:00:21.818	-0.002
06/15/2022 13:23:23	00:00:21.920	0.000
06/15/2022 13:23:23	00:00:22.122	0.002
06/15/2022 13:23:23	00:00:22.222	0.000
06/15/2022 13:23:23	00:00:22.731	-0.001
06/15/2022 13:23:24	00:00:22.833	0.000
06/15/2022 13:23:24	00:00:22.935	-0.002
06/15/2022 13:23:24	00:00:23.037	0.000
06/15/2022 13:23:24	00:00:23.742	-0.001
06/15/2022 13:23:25	00:00:23.946	0.001
06/15/2022 13:23:25	00:00:24.049	0.000
06/15/2022 13:23:25	00:00:24.151	0.002
06/15/2022 13:23:25	00:00:24.253	-0.002
06/15/2022 13:23:25	00:00:24.355	-0.001
06/15/2022 13:23:25	00:00:24.456	0.001
06/15/2022 13:23:25	00:00:24.558	0.000
06/15/2022 13:23:26	00:00:24.958	0.003
06/15/2022 13:23:26	00:00:25.060	0.000
06/15/2022 13:23:26	00:00:25.162	0.001
06/15/2022 13:23:26	00:00:25.366	-0.001
06/15/2022 13:23:26	00:00:25.469	0.000
06/15/2022 13:23:26	00:00:25.571	-0.001
06/15/2022 13:23:26	00:00:25.673	0.002
06/15/2022 13:23:27	00:00:25.781	0.000
06/15/2022 13:23:27	00:00:25.882	0.001
06/15/2022 13:23:27	00:00:26.284	-0.001
06/15/2022 13:23:27	00:00:26.384	0.002
06/15/2022 13:23:27	00:00:26.486	0.000
06/15/2022 13:23:27	00:00:26.690	0.004
06/15/2022 13:23:28	00:00:26.793	0.002
06/15/2022 13:23:28	00:00:26.997	0.000
06/15/2022 13:23:28	00:00:27.099	0.001
06/15/2022 13:23:28	00:00:27.201	-0.003
06/15/2022 13:23:28	00:00:27.302	0.001
06/15/2022 13:23:28	00:00:27.502	0.002
06/15/2022 13:23:28	00:00:27.602	-0.001
06/15/2022 13:23:28	00:00:27.702	0.001
06/15/2022 13:23:29	00:00:27.802	-0.002
06/15/2022 13:23:29	00:00:27.902	0.001
06/15/2022 13:23:29	00:00:28.004	-0.002
06/15/2022 13:23:29	00:00:28.108	0.000
06/15/2022 13:23:29	00:00:28.313	-0.002
06/15/2022 13:23:29	00:00:28.415	0.003
06/15/2022 13:23:29	00:00:28.517	0.000
06/15/2022 13:23:29	00:00:28.618	0.003
06/15/2022 13:23:29	00:00:28.718	0.000
06/15/2022 13:23:30	00:00:28.918	0.001
06/15/2022 13:23:30	00:00:29.018	0.000
06/15/2022 13:23:30	00:00:29.120	0.002
06/15/2022 13:23:30	00:00:29.220	0.001
06/15/2022 13:23:30	00:00:29.322	0.000
06/15/2022 13:23:30	00:00:29.526	-0.003
06/15/2022 13:23:30	00:00:29.629	-0.001
06/15/2022 13:23:30	00:00:29.731	-0.003
06/15/2022 13:23:31	00:00:29.833	0.001
06/15/2022 13:23:31	00:00:30.037	0.000
06/15/2022 13:23:31	00:00:30.240	-0.002
06/15/2022 13:23:31	00:00:30.340	0.002
06/15/2022 13:23:31	00:00:30.440	0.000
06/15/2022 13:23:31	00:00:30.542	-0.001
06/15/2022 13:23:31	00:00:30.642	0.001
06/15/2022 13:23:32	00:00:30.948	0.002
06/15/2022 13:23:32	00:00:31.051	-0.001
06/15/2022 13:23:32	00:00:31.153	0.002
06/15/2022 13:23:32	00:00:31.255	0.000
06/15/2022 13:23:32	00:00:31.758	0.002
06/15/2022 13:23:33	00:00:32.264	0.004
06/15/2022 13:23:33	00:00:32.366	0.001
06/15/2022 13:23:33	00:00:32.673	0.000
06/15/2022 13:23:35	00:00:33.480	0.001
06/15/2022 13:23:35	00:00:33.582	0.000
06/15/2022 13:23:35	00:00:33.684	-0.002
06/15/2022 13:23:35	00:00:33.776	0.000
06/15/2022 13:23:35	00:00:34.007	0.002
06/15/2022 13:23:35	00:00:34.109	-0.017
06/15/2022 13:23:35	00:00:34.209	-0.067
06/15/2022 13:23:35	00:00:34.312	0.010
06/15/2022 13:23:35	00:00:34.514	0.004
06/15/2022 13:23:35	00:00:34.704	0.002
06/15/2022 13:23:36	00:00:35.006	0.000
06/15/2022 13:23:36	00:00:35.120	0.002
06/15/2022 13:23:36	00:00:35.248	0.000
06/15/2022 13:23:36	00:00:35.313	-0.001
06/15/2022 13:23:36	00:00:35.447	0.000
06/15/2022 13:23:37	00:00:36.062	-0.001
06/15/2022 13:23:37	00:00:36.148	0.001
06/15/2022 13:23:37	00:00:36.236	-0.001
06/15/2022 13:23:37	00:00:36.419	0.000
06/15/2022 13:23:37	00:00:36.809	0.002
06/15/2022 13:23:38	00:00:36.911	-0.001
06/15/2022 13:23:38	00:00:37.013	0.002
06/15/2022 13:23:38	00:00:37.115	0.000
06/15/2022 13:23:38	00:00:37.216	-0.001
06/15/2022 13:23:38	00:00:37.318	0.003
06/15/2022 13:23:38	00:00:37.418	-0.001
06/15/2022 13:23:38	00:00:37.518	0.002
06/15/2022 13:23:38	00:00:37.722	0.000
06/15/2022 13:23:39	00:00:38.028	0.002
06/15/2022 13:23:39	00:00:38.131	-0.001
06/15/2022 13:23:39	00:00:38.436	0.002
06/15/2022 13:23:39	00:00:38.536	-0.001
06/15/2022 13:23:39	00:00:38.738	0.001
06/15/2022 13:23:40	00:00:38.838	0.000
06/15/2022 13:23:40	00:00:39.346	-0.003
06/15/2022 13:23:40	00:00:39.448	0.001
06/15/2022 13:23:40	00:00:39.551	0.000
06/15/2022 13:23:41	00:00:39.956	0.001
06/15/2022 13:23:41	00:00:40.256	-0.001
06/15/2022 13:23:41	00:00:40.356	0.002
06/15/2022 13:23:41	00:00:40.560	-0.002
06/15/2022 13:23:41	00:00:40.662	0.003
06/15/2022 13:23:42	00:00:40.866	0.001
06/15/2022 13:23:42	00:00:40.969	-0.001
06/15/2022 13:23:42	00:00:41.071	0.000
06/15/2022 13:23:42	00:00:41.173	0.002
06/15/2022 13:23:42	00:00:41.274	0.000
06/15/2022 13:23:42	00:00:41.374	-0.002
06/15/2022 13:23:42	00:00:41.476	0.002
06/15/2022 13:23:42	00:00:41.576	0.000
06/15/2022 13:23:43	00:00:41.982	0.002
06/15/2022 13:23:43	00:00:42.084	-0.001
06/15/2022 13:23:43	00:00:42.186	0.001
06/15/2022 13:23:43	00:00:42.391	-0.002
06/15/2022 13:23:43	00:00:42.493	0.000
06/15/2022 13:23:43	00:00:42.695	0.002
06/15/2022 13:23:43	00:00:42.797	0.001
06/15/2022 13:23:44	00:00:42.998	-0.001
06/15/2022 13:23:44	00:00:43.200	-0.003
06/15/2022 13:23:44	00:00:43.302	0.000
06/15/2022 13:23:44	00:00:43.404	0.002
06/15/2022 13:23:44	00:00:43.506	-0.001
06/15/2022 13:23:44	00:00:43.608	-0.003
06/15/2022 13:23:44	00:00:43.711	-0.001
06/15/2022 13:23:44	00:00:43.813	0.001
06/15/2022 13:23:45	00:00:44.116	0.000
06/15/2022 13:23:45	00:00:44.416	0.002
06/15/2022 13:23:45	00:00:44.518	0.001
06/15/2022 13:23:45	00:00:44.620	-0.001
06/15/2022 13:23:45	00:00:44.722	-0.003
06/15/2022 13:23:45	00:00:44.824	0.002
06/15/2022 13:23:46	00:00:44.926	0.000
06/15/2022 13:23:46	00:00:45.131	0.001
06/15/2022 13:23:46	00:00:45.233	0.000
06/15/2022 13:23:46	00:00:45.734	-0.002
06/15/2022 13:23:46	00:00:45.834	0.000
06/15/2022 13:23:47	00:00:45.936	0.002
06/15/2022 13:23:47	00:00:46.038	0.000
06/15/2022 13:23:47	00:00:46.242	0.002
06/15/2022 13:23:47	00:00:46.344	-0.002
06/15/2022 13:23:47	00:00:46.446	0.000
06/15/2022 13:23:47	00:00:46.651	-0.002
06/15/2022 13:23:47	00:00:46.753	0.002
06/15/2022 13:23:48	00:00:46.855	0.000
06/15/2022 13:23:48	00:00:47.056	0.002
06/15/2022 13:23:48	00:00:47.156	0.000
06/15/2022 13:23:48	00:00:47.462	0.001
06/15/2022 13:23:48	00:00:47.564	-0.003
06/15/2022 13:23:48	00:00:47.666	0.001
06/15/2022 13:23:48	00:00:47.870	-0.004
06/15/2022 13:23:49	00:00:47.973	-0.002
06/15/2022 13:23:49	00:00:48.075	0.003
06/15/2022 13:23:49	00:00:48.176	0.000
06/15/2022 13:23:49	00:00:48.279	0.001
06/15/2022 13:23:49	00:00:48.380	-0.001
06/15/2022 13:23:49	00:00:48.582	0.000
06/15/2022 13:23:50	00:00:49.192	-0.001
06/15/2022 13:23:50	00:00:49.294	0.000
06/15/2022 13:23:50	00:00:49.396	-0.001
06/15/2022 13:23:50	00:00:49.800	0.002
06/15/2022 13:23:51	00:00:49.900	0.000
06/15/2022 13:23:51	00:00:50.308	-0.002
06/15/2022 13:23:51	00:00:50.410	0.000
06/15/2022 13:23:51	00:00:50.614	0.001
06/15/2022 13:23:51	00:00:50.819	0.000
06/15/2022 13:23:52	00:00:50.920	-0.003
06/15/2022 13:23:52	00:00:51.020	-0.001
06/15/2022 13:23:52	00:00:51.420	0.001
06/15/2022 13:23:52	00:00:51.522	-0.003
06/15/2022 13:23:52	00:00:51.624	-0.002
06/15/2022 13:23:52	00:00:51.729	0.000
06/15/2022 13:23:54	00:00:52.034	0.002
06/15/2022 13:23:54	00:00:52.238	0.000
06/15/2022 13:23:54	00:00:52.440	-0.001
06/15/2022 13:23:54	00:00:52.540	0.001
06/15/2022 13:23:54	00:00:52.740	0.000
06/15/2022 13:23:54	00:00:52.842	0.001
06/15/2022 13:23:55	00:00:53.352	-0.001
06/15/2022 13:23:55	00:00:53.556	0.004
06/15/2022 13:23:55	00:00:53.657	0.000
06/15/2022 13:23:55	00:00:53.858	0.002
06/15/2022 13:23:56	00:00:54.058	-0.001
06/15/2022 13:23:56	00:00:54.158	0.000
06/15/2022 13:23:57	00:00:55.076	-0.002
06/15/2022 13:23:57	00:00:55.176	0.000
06/15/2022 13:23:57	00:00:55.376	0.001
06/15/2022 13:23:57	00:00:55.680	-0.002
06/15/2022 13:23:57	00:00:55.884	0.000
06/15/2022 13:23:58	00:00:56.088	0.002
06/15/2022 13:23:58	00:00:56.190	0.000
06/15/2022 13:23:58	00:00:56.292	-0.001
06/15/2022 13:23:58	00:00:56.394	0.001
06/15/2022 13:23:58	00:00:56.494	0.000
06/15/2022 13:23:58	00:00:56.694	0.001
06/15/2022 13:23:58	00:00:56.794	0.000
06/15/2022 13:23:59	00:00:57.096	-0.004
06/15/2022 13:23:59	00:00:57.198	0.000
06/15/2022 13:23:59	00:00:57.402	0.001
06/15/2022 13:23:59	00:00:57.911	0.000
06/15/2022 13:24:00	00:00:58.012	0.001
06/15/2022 13:24:00	00:00:58.314	-0.001
06/15/2022 13:24:01	00:00:59.028	0.001
06/15/2022 13:24:01	00:00:59.130	-0.003
06/15/2022 13:24:01	00:00:59.232	0.003
06/15/2022 13:24:01	00:00:59.333	0.000
06/15/2022 13:24:01	00:00:59.535	0.002
06/15/2022 13:24:01	00:00:59.636	0.000
06/15/2022 13:24:01	00:00:59.738	-0.001
06/15/2022 13:24:01	00:00:59.840	0.000
06/15/2022 13:24:02	00:00:59.942	-0.002
06/15/2022 13:24:02	00:01:00.044	0.000
06/15/2022 13:24:02	00:01:00.146	0.002
06/15/2022 13:24:02	00:01:00.248	0.000
06/15/2022 13:24:03	00:01:01.260	0.002
06/15/2022 13:24:03	00:01:01.362	0.000
06/15/2022 13:24:03	00:01:01.464	-0.002
06/15/2022 13:24:03	00:01:01.566	0.000
06/15/2022 13:24:03	00:01:01.770	-0.002
06/15/2022 13:24:03	00:01:01.871	0.001
06/15/2022 13:24:04	00:01:02.073	-0.002
06/15/2022 13:24:04	00:01:02.175	0.000
06/15/2022 13:24:04	00:01:02.784	-0.003
06/15/2022 13:24:04	00:01:02.886	-0.001
06/15/2022 13:24:05	00:01:03.192	0.001
06/15/2022 13:24:05	00:01:03.498	-0.001
06/15/2022 13:24:05	00:01:03.698	-0.003
06/15/2022 13:24:05	00:01:03.800	0.001
06/15/2022 13:24:06	00:01:04.002	-0.001
06/15/2022 13:24:06	00:01:04.104	0.000
06/15/2022 13:24:06	00:01:04.206	-0.002
06/15/2022 13:24:06	00:01:04.410	0.000
06/15/2022 13:24:06	00:01:04.614	-0.001
06/15/2022 13:24:06	00:01:04.918	0.002
06/15/2022 13:24:07	00:01:05.020	0.000
06/15/2022 13:24:07	00:01:05.120	0.002
06/15/2022 13:24:07	00:01:05.220	0.000
06/15/2022 13:24:07	00:01:05.322	0.001
06/15/2022 13:24:07	00:01:05.730	-0.002
06/15/2022 13:24:07	00:01:05.832	0.000
06/15/2022 13:24:07	00:01:05.934	0.002
06/15/2022 13:24:08	00:01:06.035	0.000
06/15/2022 13:24:08	00:01:06.138	-0.002
06/15/2022 13:24:08	00:01:06.239	0.000
06/15/2022 13:24:08	00:01:06.644	-0.001
06/15/2022 13:24:08	00:01:06.746	0.001
06/15/2022 13:24:08	00:01:06.848	-0.003
06/15/2022 13:24:08	00:01:06.950	0.000
06/15/2022 13:24:09	00:01:07.052	0.002
06/15/2022 13:24:09	00:01:07.154	-0.002
06/15/2022 13:24:09	00:01:07.256	0.000
06/15/2022 13:24:09	00:01:07.358	0.002
06/15/2022 13:24:09	00:01:07.460	0.000
06/15/2022 13:24:09	00:01:07.762	0.003
06/15/2022 13:24:09	00:01:07.862	0.001
06/15/2022 13:24:09	00:01:07.962	0.000
06/15/2022 13:24:10	00:01:08.166	-0.001
06/15/2022 13:24:10	00:01:08.268	0.000
06/15/2022 13:24:10	00:01:08.370	-0.001
06/15/2022 13:24:10	00:01:08.472	0.003
06/15/2022 13:24:10	00:01:08.574	0.001
06/15/2022 13:24:11	00:01:09.280	-0.001
06/15/2022 13:24:11	00:01:09.584	0.001
06/15/2022 13:24:11	00:01:09.788	0.002
06/15/2022 13:24:11	00:01:09.890	-0.003
06/15/2022 13:24:11	00:01:09.992	-0.001
06/15/2022 13:24:12	00:01:10.094	0.001
06/15/2022 13:24:12	00:01:10.296	-0.001
06/15/2022 13:24:12	00:01:10.397	0.000
06/15/2022 13:24:12	00:01:10.498	-0.001
06/15/2022 13:24:12	00:01:10.598	0.002
06/15/2022 13:24:12	00:01:10.798	-0.001
06/15/2022 13:24:12	00:01:10.900	0.002
06/15/2022 13:24:12	00:01:11.002	-0.003
06/15/2022 13:24:13	00:01:11.104	0.000
06/15/2022 13:24:13	00:01:11.410	-0.001
06/15/2022 13:24:13	00:01:11.614	0.000
06/15/2022 13:24:13	00:01:11.815	0.003
06/15/2022 13:24:13	00:01:11.916	0.000
06/15/2022 13:24:14	00:01:12.318	0.002
06/15/2022 13:24:14	00:01:12.420	-0.002
06/15/2022 13:24:14	00:01:12.522	0.001
06/15/2022 13:24:14	00:01:12.726	-0.002
06/15/2022 13:24:14	00:01:12.828	0.000
06/15/2022 13:24:14	00:01:12.930	-0.001
06/15/2022 13:24:15	00:01:13.032	0.001
06/15/2022 13:24:15	00:01:13.233	0.000
06/15/2022 13:24:15	00:01:13.534	-0.001
06/15/2022 13:24:15	00:01:13.636	0.001
06/15/2022 13:24:16	00:01:14.046	-0.001
06/15/2022 13:24:16	00:01:14.148	0.000
06/15/2022 13:24:16	00:01:14.451	0.002
06/15/2022 13:24:16	00:01:14.655	0.000
06/15/2022 13:24:16	00:01:14.856	0.001
06/15/2022 13:24:17	00:01:15.262	-0.002
06/15/2022 13:24:17	00:01:15.364	0.002
06/15/2022 13:24:17	00:01:15.468	0.000
06/15/2022 13:24:17	00:01:15.976	-0.004
06/15/2022 13:24:18	00:01:16.077	0.001
06/15/2022 13:24:18	00:01:16.178	-0.001
06/15/2022 13:24:18	00:01:16.278	0.000
06/15/2022 13:24:18	00:01:16.480	-0.003
06/15/2022 13:24:18	00:01:16.582	0.000
06/15/2022 13:24:18	00:01:16.888	0.001
06/15/2022 13:24:19	00:01:17.092	-0.001
06/15/2022 13:24:19	00:01:17.393	0.001
06/15/2022 13:24:19	00:01:17.493	0.002
06/15/2022 13:24:19	00:01:17.594	-0.001
06/15/2022 13:24:19	00:01:17.794	0.000
06/15/2022 13:24:19	00:01:17.998	0.002
06/15/2022 13:24:20	00:01:18.304	-0.001
06/15/2022 13:24:20	00:01:18.406	0.000
06/15/2022 13:24:20	00:01:18.508	-0.001
06/15/2022 13:24:20	00:01:18.912	-0.004
06/15/2022 13:24:20	00:01:19.014	0.000
06/15/2022 13:24:21	00:01:19.624	0.001
06/15/2022 13:24:21	00:01:19.930	0.004
06/15/2022 13:24:21	00:01:20.031	0.002
06/15/2022 13:24:22	00:01:20.231	0.000
06/15/2022 13:24:22	00:01:20.532	0.001
06/15/2022 13:24:22	00:01:20.634	0.000
06/15/2022 13:24:23	00:01:21.144	0.001
06/15/2022 13:24:23	00:01:21.345	0.000
06/15/2022 13:24:23	00:01:21.445	-0.004
06/15/2022 13:24:23	00:01:21.545	-0.001
06/15/2022 13:24:23	00:01:21.745	0.001
06/15/2022 13:24:23	00:01:21.948	0.003
06/15/2022 13:24:23	00:01:22.050	0.000
06/15/2022 13:24:24	00:01:22.254	0.002
06/15/2022 13:24:24	00:01:22.356	-0.001
06/15/2022 13:24:24	00:01:22.560	0.001
06/15/2022 13:24:24	00:01:22.662	-0.001
06/15/2022 13:24:24	00:01:22.764	0.001
06/15/2022 13:24:24	00:01:22.865	0.000
06/15/2022 13:24:25	00:01:23.166	-0.001
06/15/2022 13:24:25	00:01:23.368	-0.003
06/15/2022 13:24:25	00:01:23.470	0.000
06/15/2022 13:24:25	00:01:23.572	0.001
06/15/2022 13:24:25	00:01:23.674	-0.002
06/15/2022 13:24:25	00:01:23.982	0.000
06/15/2022 13:24:26	00:01:24.183	-0.001
06/15/2022 13:24:26	00:01:24.283	0.000
06/15/2022 13:24:26	00:01:24.888	-0.001
06/15/2022 13:24:27	00:01:25.092	-0.002
06/15/2022 13:24:27	00:01:25.194	-0.001
06/15/2022 13:24:27	00:01:25.296	0.001
06/15/2022 13:24:27	00:01:25.398	-0.001
06/15/2022 13:24:27	00:01:25.499	0.000
06/15/2022 13:24:27	00:01:25.599	0.003
06/15/2022 13:24:27	00:01:25.699	-0.001
06/15/2022 13:24:27	00:01:25.899	0.000
06/15/2022 13:24:28	00:01:26.406	-0.001
06/15/2022 13:24:28	00:01:26.610	0.001
06/15/2022 13:24:28	00:01:26.712	-0.003
06/15/2022 13:24:28	00:01:26.814	0.000
06/15/2022 13:24:28	00:01:26.916	0.003
06/15/2022 13:24:28	00:01:27.017	0.000
06/15/2022 13:24:29	00:01:27.117	-0.001
06/15/2022 13:24:29	00:01:27.217	0.003
06/15/2022 13:24:29	00:01:27.317	0.000
06/15/2022 13:24:29	00:01:27.418	0.003
06/15/2022 13:24:29	00:01:27.518	0.001
06/15/2022 13:24:29	00:01:27.722	-0.001
06/15/2022 13:24:29	00:01:27.824	0.000
06/15/2022 13:24:30	00:01:28.231	-0.001
06/15/2022 13:24:30	00:01:28.333	0.000
06/15/2022 13:24:30	00:01:28.433	-0.001
06/15/2022 13:24:30	00:01:28.533	0.003
06/15/2022 13:24:30	00:01:28.633	-0.001
06/15/2022 13:24:30	00:01:28.834	0.000
06/15/2022 13:24:30	00:01:28.934	-0.001
06/15/2022 13:24:30	00:01:29.036	0.003
06/15/2022 13:24:31	00:01:29.138	-0.001
06/15/2022 13:24:31	00:01:29.444	0.000
06/15/2022 13:24:31	00:01:29.546	-0.003
06/15/2022 13:24:31	00:01:29.647	0.000
06/15/2022 13:24:32	00:01:30.149	0.002
06/15/2022 13:24:32	00:01:30.250	-0.002
06/15/2022 13:24:32	00:01:30.454	0.002
06/15/2022 13:24:32	00:01:30.556	0.001
06/15/2022 13:24:32	00:01:30.658	-0.004
06/15/2022 13:24:32	00:01:30.760	0.000
06/15/2022 13:24:32	00:01:30.964	-0.002
06/15/2022 13:24:33	00:01:31.167	0.002
06/15/2022 13:24:33	00:01:31.267	-0.001
06/15/2022 13:24:33	00:01:31.367	0.000
06/15/2022 13:24:33	00:01:31.674	-0.002
06/15/2022 13:24:33	00:01:31.878	0.002
06/15/2022 13:24:33	00:01:32.082	0.001
06/15/2022 13:24:34	00:01:32.487	-0.001
06/15/2022 13:24:34	00:01:32.691	0.000
06/15/2022 13:24:34	00:01:32.793	-0.001
06/15/2022 13:24:34	00:01:32.993	0.002
06/15/2022 13:24:34	00:01:33.096	-0.001
06/15/2022 13:24:35	00:01:33.300	0.002
06/15/2022 13:24:35	00:01:33.402	-0.002
06/15/2022 13:24:35	00:01:33.504	0.001
06/15/2022 13:24:35	00:01:33.809	-0.001
06/15/2022 13:24:36	00:01:34.209	0.000
06/15/2022 13:24:36	00:01:34.309	-0.001
06/15/2022 13:24:36	00:01:34.614	0.000
06/15/2022 13:24:36	00:01:34.920	-0.003
06/15/2022 13:24:36	00:01:35.022	0.001
06/15/2022 13:24:37	00:01:35.425	-0.001
06/15/2022 13:24:37	00:01:35.725	0.000
06/15/2022 13:24:37	00:01:35.928	-0.001
06/15/2022 13:24:37	00:01:36.030	0.002
