Local Date/Time	Relative Time	setflow-a:setflow [µL/min]
06/15/2022 13:27:16	00:04:15.102	0.000
06/15/2022 13:27:17	00:04:16.102	0.000
06/15/2022 13:27:18	00:04:17.115	0.000
06/15/2022 13:27:19	00:04:18.128	0.000
06/15/2022 13:27:20	00:04:19.141	0.000
06/15/2022 13:27:21	00:04:20.149	0.000
06/15/2022 13:27:22	00:04:21.163	0.000
06/15/2022 13:27:23	00:04:22.165	0.000
06/15/2022 13:27:24	00:04:23.166	0.000
06/15/2022 13:27:25	00:04:24.171	0.000
06/15/2022 13:27:26	00:04:25.181	0.000
06/15/2022 13:27:27	00:04:26.196	0.000
06/15/2022 13:27:28	00:04:27.196	0.000
06/15/2022 13:27:29	00:04:28.197	0.000
06/15/2022 13:27:30	00:04:29.197	0.000
06/15/2022 13:27:31	00:04:30.198	0.000
06/15/2022 13:27:32	00:04:31.197	0.000
06/15/2022 13:27:33	00:04:32.198	0.000
06/15/2022 13:27:34	00:04:33.213	0.000
06/15/2022 13:27:35	00:04:34.213	0.000
06/15/2022 13:27:36	00:04:35.213	0.000
06/15/2022 13:27:37	00:04:36.227	0.000
06/15/2022 13:27:38	00:04:37.229	0.000
06/15/2022 13:27:39	00:04:38.234	0.000
06/15/2022 13:27:40	00:04:39.229	0.000
06/15/2022 13:27:41	00:04:40.244	0.000
06/15/2022 13:27:42	00:04:41.244	0.000
06/15/2022 13:27:43	00:04:42.245	0.000
06/15/2022 13:27:44	00:04:43.245	0.000
06/15/2022 13:27:45	00:04:44.245	0.000
06/15/2022 13:27:46	00:04:45.246	0.000
06/15/2022 13:27:47	00:04:46.260	0.000
06/15/2022 13:27:48	00:04:47.261	0.000
06/15/2022 13:27:49	00:04:48.274	0.000
06/15/2022 13:27:50	00:04:49.275	0.000
06/15/2022 13:27:51	00:04:50.275	0.000
06/15/2022 13:27:52	00:04:51.276	0.000
06/15/2022 13:27:53	00:04:52.277	0.000
06/15/2022 13:27:54	00:04:53.292	0.000
06/15/2022 13:27:55	00:04:54.293	0.000
06/15/2022 13:27:56	00:04:55.293	0.000
06/15/2022 13:27:57	00:04:56.294	0.000
06/15/2022 13:27:58	00:04:57.308	0.000
06/15/2022 13:27:59	00:04:58.330	0.000
06/15/2022 13:28:00	00:04:59.327	0.000
06/15/2022 13:28:01	00:05:00.337	0.000
06/15/2022 13:28:02	00:05:01.337	0.000
06/15/2022 13:28:03	00:05:02.337	0.000
06/15/2022 13:28:04	00:05:03.337	0.000
06/15/2022 13:28:05	00:05:04.351	0.000
06/15/2022 13:28:06	00:05:05.366	0.000
06/15/2022 13:28:07	00:05:06.368	0.000
06/15/2022 13:28:08	00:05:07.370	0.000
06/15/2022 13:28:09	00:05:08.384	0.000
06/15/2022 13:28:10	00:05:09.385	0.000
06/15/2022 13:28:11	00:05:10.401	0.000
06/15/2022 13:28:12	00:05:11.416	0.000
06/15/2022 13:28:13	00:05:12.416	0.000
06/15/2022 13:28:14	00:05:13.416	0.000
06/15/2022 13:28:15	00:05:14.418	0.000
06/15/2022 13:28:16	00:05:15.430	0.000
06/15/2022 13:28:17	00:05:16.433	0.000
06/15/2022 13:28:18	00:05:17.430	0.000
06/15/2022 13:28:19	00:05:18.432	0.000
06/15/2022 13:28:20	00:05:19.431	0.000
06/15/2022 13:28:21	00:05:20.433	0.000
06/15/2022 13:28:22	00:05:21.451	0.000
06/15/2022 13:28:23	00:05:22.462	0.000
06/15/2022 13:28:24	00:05:23.462	0.000
06/15/2022 13:28:25	00:05:24.462	0.000
06/15/2022 13:28:26	00:05:25.462	0.000
06/15/2022 13:28:27	00:05:26.464	0.000
06/15/2022 13:28:28	00:05:27.464	0.000
06/15/2022 13:28:29	00:05:28.477	0.000
06/15/2022 13:28:30	00:05:29.478	0.000
06/15/2022 13:28:31	00:05:30.479	0.000
06/15/2022 13:28:32	00:05:31.479	0.000
06/15/2022 13:28:33	00:05:32.479	0.000
06/15/2022 13:28:34	00:05:33.494	0.000
06/15/2022 13:28:35	00:05:34.508	0.000
06/15/2022 13:28:36	00:05:35.514	0.000
06/15/2022 13:28:37	00:05:36.510	0.000
06/15/2022 13:28:38	00:05:37.509	0.000
06/15/2022 13:28:39	00:05:38.511	0.000
06/15/2022 13:28:40	00:05:39.524	0.000
06/15/2022 13:28:41	00:05:40.524	0.000
06/15/2022 13:28:42	00:05:41.526	0.000
06/15/2022 13:28:43	00:05:42.541	0.000
06/15/2022 13:28:44	00:05:43.542	0.000
06/15/2022 13:28:45	00:05:44.543	0.000
06/15/2022 13:28:46	00:05:45.544	0.000
06/15/2022 13:28:47	00:05:46.556	0.000
06/15/2022 13:28:48	00:05:47.558	0.000
06/15/2022 13:28:49	00:05:48.556	0.000
06/15/2022 13:28:50	00:05:49.557	0.000
06/15/2022 13:28:51	00:05:50.558	0.000
06/15/2022 13:28:52	00:05:51.558	0.000
06/15/2022 13:28:53	00:05:52.571	0.000
06/15/2022 13:28:54	00:05:53.573	0.000
06/15/2022 13:28:55	00:05:54.573	0.000
06/15/2022 13:28:56	00:05:55.573	0.000
06/15/2022 13:28:57	00:05:56.591	0.000
06/15/2022 13:28:58	00:05:57.592	0.000
06/15/2022 13:28:59	00:05:58.591	0.000
06/15/2022 13:29:00	00:05:59.591	0.000
06/15/2022 13:29:01	00:06:00.604	0.000
06/15/2022 13:29:02	00:06:01.603	0.000
06/15/2022 13:29:03	00:06:02.621	0.000
06/15/2022 13:29:04	00:06:03.621	0.000
06/15/2022 13:29:05	00:06:04.620	0.000
06/15/2022 13:29:06	00:06:05.635	0.000
06/15/2022 13:29:07	00:06:06.635	0.000
06/15/2022 13:29:08	00:06:07.636	0.000
06/15/2022 13:29:09	00:06:08.637	0.000
06/15/2022 13:29:10	00:06:09.650	0.000
06/15/2022 13:29:11	00:06:10.666	0.000
06/15/2022 13:29:12	00:06:11.666	0.000
06/15/2022 13:29:13	00:06:12.666	0.000
06/15/2022 13:29:14	00:06:13.666	0.000
06/15/2022 13:29:15	00:06:14.667	0.000
06/15/2022 13:29:16	00:06:15.670	0.000
06/15/2022 13:29:17	00:06:16.668	0.000
06/15/2022 13:29:18	00:06:17.680	0.000
06/15/2022 13:29:19	00:06:18.681	0.000
06/15/2022 13:29:20	00:06:19.683	0.000
06/15/2022 13:29:21	00:06:20.683	0.000
06/15/2022 13:29:22	00:06:21.696	0.000
06/15/2022 13:29:23	00:06:22.697	0.000
06/15/2022 13:29:24	00:06:23.698	0.000
06/15/2022 13:29:25	00:06:24.697	0.000
06/15/2022 13:29:26	00:06:25.698	0.000
06/15/2022 13:29:27	00:06:26.698	0.000
06/15/2022 13:29:28	00:06:27.712	0.000
06/15/2022 13:29:29	00:06:28.712	0.000
06/15/2022 13:29:30	00:06:29.712	0.000
06/15/2022 13:29:31	00:06:30.713	0.000
06/15/2022 13:29:32	00:06:31.712	0.000
06/15/2022 13:29:33	00:06:32.714	0.000
06/15/2022 13:29:34	00:06:33.714	0.000
06/15/2022 13:29:35	00:06:34.728	0.000
06/15/2022 13:29:36	00:06:35.728	0.000
06/15/2022 13:29:37	00:06:36.728	0.000
06/15/2022 13:29:38	00:06:37.730	0.000
06/15/2022 13:29:39	00:06:38.745	0.000
06/15/2022 13:29:40	00:06:39.746	0.000
06/15/2022 13:29:41	00:06:40.748	0.000
06/15/2022 13:29:42	00:06:41.749	0.000
06/15/2022 13:29:43	00:06:42.760	0.000
06/15/2022 13:29:44	00:06:43.762	0.000
06/15/2022 13:29:45	00:06:44.762	0.000
06/15/2022 13:29:46	00:06:45.764	0.000
06/15/2022 13:29:47	00:06:46.763	0.000
06/15/2022 13:29:48	00:06:47.774	0.000
06/15/2022 13:29:49	00:06:48.776	0.000
06/15/2022 13:29:50	00:06:49.776	0.000
06/15/2022 13:29:51	00:06:50.790	0.000
06/15/2022 13:29:52	00:06:51.791	0.000
06/15/2022 13:29:53	00:06:52.792	0.000
06/15/2022 13:29:54	00:06:53.792	0.000
06/15/2022 13:29:55	00:06:54.793	0.000
06/15/2022 13:29:56	00:06:55.794	0.000
06/15/2022 13:29:57	00:06:56.806	0.000
06/15/2022 13:29:58	00:06:57.806	0.000
06/15/2022 13:29:59	00:06:58.807	0.000
06/15/2022 13:30:00	00:06:59.808	0.000
06/15/2022 13:30:01	00:07:00.821	0.000
06/15/2022 13:30:02	00:07:01.822	0.000
06/15/2022 13:30:03	00:07:02.832	0.000
06/15/2022 13:30:04	00:07:03.824	0.000
06/15/2022 13:30:05	00:07:04.824	0.000
06/15/2022 13:30:06	00:07:05.837	0.000
06/15/2022 13:30:07	00:07:06.838	0.000
06/15/2022 13:30:08	00:07:07.838	0.000
06/15/2022 13:30:09	00:07:08.838	0.000
06/15/2022 13:30:10	00:07:09.842	0.000
06/15/2022 13:30:11	00:07:10.854	0.000
06/15/2022 13:30:12	00:07:11.855	0.000
06/15/2022 13:30:13	00:07:12.855	0.000
06/15/2022 13:30:14	00:07:13.856	0.000
06/15/2022 13:30:15	00:07:14.868	0.000
06/15/2022 13:30:16	00:07:15.870	0.000
06/15/2022 13:30:17	00:07:16.870	0.000
06/15/2022 13:30:18	00:07:17.886	0.000
06/15/2022 13:30:19	00:07:18.885	0.000
06/15/2022 13:30:20	00:07:19.900	0.000
06/15/2022 13:30:21	00:07:20.902	0.000
06/15/2022 13:30:22	00:07:21.902	0.000
06/15/2022 13:30:24	00:07:22.917	0.000
06/15/2022 13:30:25	00:07:23.917	0.000
06/15/2022 13:30:26	00:07:24.918	0.000
06/15/2022 13:30:27	00:07:25.919	0.000
06/15/2022 13:30:28	00:07:26.931	0.000
06/15/2022 13:30:29	00:07:26.931	0.000
06/15/2022 13:30:29	00:07:27.575	1.000
06/15/2022 13:30:29	00:07:27.599	1.000
06/15/2022 13:30:29	00:07:27.613	1.000
06/15/2022 13:30:29	00:07:27.631	1.000
06/15/2022 13:30:29	00:07:27.653	1.000
06/15/2022 13:30:29	00:07:27.655	1.000
06/15/2022 13:30:29	00:07:27.673	1.000
06/15/2022 13:30:29	00:07:27.693	1.000
06/15/2022 13:30:29	00:07:27.717	1.000
06/15/2022 13:30:29	00:07:27.741	1.000
06/15/2022 13:30:29	00:07:27.767	1.000
06/15/2022 13:30:29	00:07:27.795	1.000
06/15/2022 13:30:29	00:07:27.825	1.000
06/15/2022 13:30:29	00:07:27.859	1.000
06/15/2022 13:30:29	00:07:27.893	1.000
06/15/2022 13:30:29	00:07:27.930	1.000
06/15/2022 13:30:30	00:07:27.968	1.000
06/15/2022 13:30:30	00:07:28.008	1.000
06/15/2022 13:30:30	00:07:28.050	1.000
06/15/2022 13:30:30	00:07:28.094	1.000
06/15/2022 13:30:30	00:07:28.120	1.000
06/15/2022 13:30:30	00:07:28.140	1.000
06/15/2022 13:30:30	00:07:28.152	1.000
06/15/2022 13:30:30	00:07:28.166	1.000
06/15/2022 13:30:30	00:07:28.182	1.000
06/15/2022 13:30:30	00:07:28.200	1.000
06/15/2022 13:30:30	00:07:28.220	1.000
06/15/2022 13:30:30	00:07:28.242	1.000
06/15/2022 13:30:30	00:07:28.266	1.000
06/15/2022 13:30:30	00:07:28.292	1.000
06/15/2022 13:30:30	00:07:28.320	1.000
06/15/2022 13:30:30	00:07:28.350	1.000
06/15/2022 13:30:30	00:07:28.382	1.000
06/15/2022 13:30:30	00:07:28.416	1.000
06/15/2022 13:30:30	00:07:28.452	1.000
06/15/2022 13:30:30	00:07:28.490	1.000
06/15/2022 13:30:30	00:07:28.530	1.001
06/15/2022 13:30:30	00:07:28.571	1.001
06/15/2022 13:30:30	00:07:28.616	1.000
06/15/2022 13:30:30	00:07:28.662	1.000
06/15/2022 13:30:30	00:07:28.712	1.001
06/15/2022 13:30:30	00:07:28.763	1.001
06/15/2022 13:30:30	00:07:28.817	1.000
06/15/2022 13:30:30	00:07:28.871	1.000
06/15/2022 13:30:30	00:07:28.927	1.001
06/15/2022 13:30:31	00:07:28.985	1.001
06/15/2022 13:30:31	00:07:29.045	1.000
06/15/2022 13:30:31	00:07:29.107	1.001
06/15/2022 13:30:31	00:07:29.171	1.001
06/15/2022 13:30:31	00:07:29.239	1.000
06/15/2022 13:30:31	00:07:29.307	1.001
06/15/2022 13:30:31	00:07:29.380	1.001
06/15/2022 13:30:31	00:07:29.452	1.001
06/15/2022 13:30:31	00:07:29.526	1.000
06/15/2022 13:30:31	00:07:29.602	1.000
06/15/2022 13:30:31	00:07:29.681	1.000
06/15/2022 13:30:31	00:07:29.762	1.001
06/15/2022 13:30:31	00:07:29.844	1.000
06/15/2022 13:30:31	00:07:29.928	1.000
06/15/2022 13:30:32	00:07:30.013	1.000
06/15/2022 13:30:32	00:07:30.101	1.000
06/15/2022 13:30:32	00:07:30.191	1.000
06/15/2022 13:30:32	00:07:30.283	1.000
06/15/2022 13:30:32	00:07:30.377	1.001
06/15/2022 13:30:32	00:07:30.475	1.001
06/15/2022 13:30:32	00:07:30.579	1.001
06/15/2022 13:30:32	00:07:30.681	1.001
06/15/2022 13:30:32	00:07:30.784	1.000
06/15/2022 13:30:32	00:07:30.886	1.000
06/15/2022 13:30:33	00:07:30.988	1.000
06/15/2022 13:30:33	00:07:31.090	0.999
06/15/2022 13:30:33	00:07:31.192	1.000
06/15/2022 13:30:33	00:07:31.294	1.002
06/15/2022 13:30:33	00:07:31.396	1.001
06/15/2022 13:30:33	00:07:31.497	1.002
06/15/2022 13:30:33	00:07:31.597	1.001
06/15/2022 13:30:33	00:07:31.697	1.002
06/15/2022 13:30:33	00:07:31.797	1.001
06/15/2022 13:30:33	00:07:31.899	1.002
06/15/2022 13:30:34	00:07:32.001	1.000
06/15/2022 13:30:34	00:07:32.103	1.000
06/15/2022 13:30:34	00:07:32.206	1.000
06/15/2022 13:30:34	00:07:32.308	1.001
06/15/2022 13:30:34	00:07:32.410	1.001
06/15/2022 13:30:34	00:07:32.512	1.002
06/15/2022 13:30:34	00:07:32.613	1.002
06/15/2022 13:30:34	00:07:32.716	1.002
06/15/2022 13:30:34	00:07:32.817	1.002
06/15/2022 13:30:34	00:07:32.919	1.002
06/15/2022 13:30:35	00:07:33.021	1.001
06/15/2022 13:30:35	00:07:33.123	1.000
06/15/2022 13:30:35	00:07:33.225	1.001
06/15/2022 13:30:35	00:07:33.327	1.002
06/15/2022 13:30:35	00:07:33.429	1.002
06/15/2022 13:30:35	00:07:33.531	1.002
06/15/2022 13:30:35	00:07:33.634	1.003
06/15/2022 13:30:35	00:07:33.736	1.003
06/15/2022 13:30:35	00:07:33.838	1.002
06/15/2022 13:30:35	00:07:33.940	1.002
06/15/2022 13:30:36	00:07:34.042	1.000
06/15/2022 13:30:36	00:07:34.144	1.000
06/15/2022 13:30:36	00:07:34.245	1.000
06/15/2022 13:30:36	00:07:34.345	1.001
06/15/2022 13:30:36	00:07:34.445	1.002
06/15/2022 13:30:36	00:07:34.545	1.003
06/15/2022 13:30:36	00:07:34.652	1.003
06/15/2022 13:30:36	00:07:34.755	1.003
06/15/2022 13:30:36	00:07:34.857	1.003
06/15/2022 13:30:36	00:07:34.960	1.003
06/15/2022 13:30:37	00:07:35.062	1.002
06/15/2022 13:30:37	00:07:35.164	1.001
